,Airline,Flight Number,Date of Departure,From,To,Duration,Total Stops,Price
0,SpiceJet,SG- 191,Jan 06,Delhi,Bangalore,02h 50m,non-stop,"7,754"
1,Indigo,6E-6612,Jan 06,Delhi,Bangalore,02h 50m,non-stop,"7,929"
2,Indigo,6E-2067,Jan 06,Delhi,Bangalore,02h 55m,non-stop,"8,654"
3,AirAsia,I5-779,Jan 06,Delhi,Bangalore,11h 25m,1-stop,"8,654"
4,GO FIRST,G8- 113,Jan 06,Delhi,Bangalore,02h 50m,non-stop,"8,654"
5,Air India,AI-803,Jan 06,Delhi,Bangalore,02h 45m,non-stop,"9,210"
6,Air India,AI-439,Jan 06,Delhi,Bangalore,06h 35m,1-stop,"9,494"
7,AirAsia,I5-330,Jan 06,Delhi,Bangalore,07h 50m,1-stop,"9,494"
8,AirAsia,I5-743,Jan 06,Delhi,Bangalore,09h 15m,1-stop,"9,494"
9,AirAsia,I5-773,Jan 06,Delhi,Bangalore,11h 05m,1-stop,"9,494"
10,Indigo,6E-2403,Jan 06,Delhi,Bangalore,02h 50m,non-stop,"10,544"
11,AirAsia,I5-1732,Jan 06,Delhi,Bangalore,03h 05m,non-stop,"10,544"
12,GO FIRST,G8- 237,Jan 06,Delhi,Bangalore,08h 05m,1-stop,"10,544"
13,GO FIRST,G8- 275,Jan 06,Delhi,Bangalore,12h 05m,1-stop,"10,544"
14,GO FIRST,G8- 713,Jan 06,Delhi,Bangalore,13h 25m,1-stop,"9,915"
15,AirAsia,I5-744,Jan 06,Delhi,Bangalore,05h 55m,1-stop,"11,069"
16,AirAsia,I5-710,Jan 06,Delhi,Bangalore,07h 10m,1-stop,"11,069"
17,AirAsia,I5-791,Jan 06,Delhi,Bangalore,08h 35m,1-stop,"11,069"
18,AirAsia,I5-744,Jan 06,Delhi,Bangalore,09h 00m,1-stop,"11,069"
19,Indigo,6E-6565,Jan 06,Delhi,Bangalore,02h 50m,non-stop,"10,332"
20,Air India,AI-814,Jan 06,Delhi,Bangalore,22h 00m,1-stop,"10,334"
21,Air India,AI-605,Jan 06,Delhi,Bangalore,23h 10m,1-stop,"10,703"
22,Air India,AI-624,Jan 06,Delhi,Bangalore,25h 30m,1-stop,"10,640"
23,Air India,AI-441,Jan 06,Delhi,Bangalore,26h 40m,1-stop,"10,711"
24,SpiceJet,SG- 143,Jan 06,Delhi,Bangalore,02h 35m,non-stop,"11,332"
25,Air India,AI-814,Jan 06,Delhi,Bangalore,19h 55m,1-stop,"11,396"
26,Air India,AI-605,Jan 06,Delhi,Bangalore,21h 05m,1-stop,"11,657"
27,Air India,AI-624,Jan 06,Delhi,Bangalore,23h 25m,1-stop,"12,368"
28,Air India,AI-441,Jan 06,Delhi,Bangalore,24h 35m,1-stop,"12,360"
29,Indigo,6E-2131,Jan 06,Delhi,Bangalore,02h 50m,non-stop,"12,478"
30,Indigo,6E-2515,Jan 06,Delhi,Bangalore,02h 55m,non-stop,"12,478"
31,Indigo,6E- 308,Jan 06,Delhi,Bangalore,03h 10m,non-stop,"12,602"
32,SpiceJet,SG- 721,Jan 06,Delhi,Bangalore,25h 15m,1-stop,"12,833"
33,AirAsia,I5-711,Jan 06,Delhi,Bangalore,06h 40m,1-stop,"12,989"
34,Air India,AI-475,Jan 06,Delhi,Bangalore,31h 35m,2+-stop,"12,935"
35,Indigo,6E-5608,Jan 06,Delhi,Bangalore,02h 50m,non-stop,"12,883"
36,Air India,AI-813,Jan 06,Delhi,Bangalore,02h 55m,non-stop,"12,885"
37,Vistara,UK-935,Jan 06,Delhi,Bangalore,26h 20m,1-stop,"12,959"
38,AirAsia,I5-740,Jan 06,Delhi,Bangalore,02h 45m,non-stop,"13,935"
39,SpiceJet,SG-8938,Jan 06,Delhi,Bangalore,23h 30m,1-stop,"13,567"
40,Air India,AI-475,Jan 06,Delhi,Bangalore,29h 30m,2+-stop,"13,880"
41,Vistara,UK-985,Jan 06,Delhi,Bangalore,23h 30m,1-stop,"13,880"
42,Indigo,6E-2461,Jan 06,Delhi,Bangalore,06h 15m,1-stop,"13,888"
43,Indigo,6E-2461,Jan 06,Delhi,Bangalore,08h 00m,1-stop,"13,828"
44,Indigo,6E-2434,Jan 06,Delhi,Bangalore,02h 50m,non-stop,"13,838"
45,Indigo,6E-2596,Jan 06,Delhi,Bangalore,05h 25m,1-stop,"13,838"
46,GO FIRST,G8- 119,Jan 06,Delhi,Bangalore,02h 40m,non-stop,"14,039"
47,AirAsia,I5-1228,Jan 06,Delhi,Bangalore,02h 45m,non-stop,"14,130"
